name;index;industry;sector;pca_0;pca_1;pca_2
Hwaseung Corporation Co.,Ltd.;013520;Auto Parts;Consumer Cyclical;0.12999974093188144;-0.05472242060004742;-0.052029399470456865
Haein Corporation;003010;Industrial Distribution;Industrials;0.20983440249208196;-0.17289165409379983;-0.18247391165923887
Samsung Electronics Co., Ltd.;005935;Consumer Electronics;Technology;0.27939569194338476;-0.220787843390273;0.031551066159140925
Samsung Electronics Co., Ltd.;005930;Consumer Electronics;Technology;0.298171176213053;-0.3365980101733899;-0.015380709005038948
Hankuk Carbon Co., Ltd.;017960;Chemicals;Basic Materials;0.12641532036660835;-0.06281100675858908;-0.16055419546166544
Hanil Holdings Co., Ltd.;003300;Building Materials;Basic Materials;0.24303315761688293;-0.04105581457368748;0.1844820993892884
Michang Oil Ind. Co., Ltd.;003650;Oil & Gas Refining & Marketing;Energy;0.311396134765747;-0.2861836510404878;0.14762467147765818
Korea United Pharm Inc.;033270;Drug Manufacturers - Specialty & Generic;Healthcare;0.044001599473973974;0.0947421302993933;-0.06020277572022532
Yuanta Securities Korea Co., Ltd.;003470;Capital Markets;Financial Services;0.13634139271692813;0.024085941575013786;-0.28477792569017535
Chokwang Paint Ltd.;004910;Specialty Chemicals;Basic Materials;0.17772949682442574;0.10657964600000633;0.07721203499637566
Dongwon F&B Co., Ltd.;049770;Packaged Foods;Consumer Defensive;0.152644622699167;0.0961430609573812;0.024174705304038487
Mirae Asset Securities Co., Ltd.;006805;Capital Markets;Financial Services;0.2567543332713058;-0.272122172319755;-0.07924455801439229
Mirae Asset Securities Co., Ltd.;006800;Capital Markets;Financial Services;0.15785347197023591;-0.18616768510564735;-0.1552161600696813
Doosan Corporation;000150;Conglomerates;Industrials;0.17269383242672987;0.037017066893292844;-0.12033994257160946
SAMWHA CAPACITOR Co.,LTD;001820;Electronic Components;Technology;0.1014910957763469;0.2432672961302946;-0.1199294541720029
S-Oil Corporation;010950;Oil & Gas Refining & Marketing;Energy;0.2409529855841226;-0.12835037318738252;-0.03264237048550433
S-Oil Corporation;010955;Oil & Gas Refining & Marketing;Energy;0.36851722847688473;-0.3436510208880108;0.1254445869722263
Kiswire Ltd.;002240;Steel;Basic Materials;0.26788813459361727;-0.23649591698435846;0.1677210910029727
Daol Investment & Securities Co., Ltd.;030210;Capital Markets;Financial Services;0.07417733712596969;0.09088426289130855;-0.20345521698167163
Hotel Shilla Co.,Ltd;008770;Specialty Retail;Consumer Cyclical;0.17037587858700143;0.01000246618462211;-0.03601427043524745
Taekwang Industrial Co., Ltd.;003240;Chemicals;Basic Materials;0.27188218879642123;-0.3745560864631242;0.18601627815886246
